GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
NG_GT,2021,nat_gas,Menorca,gas,0,0,0
NG_GT,2022,nat_gas,Menorca,gas,0,0,0
NG_GT,2023,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2024,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2025,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2026,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2027,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2028,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2029,nat_gas,Menorca,gas,70,3.19228e+06,949900
NG_GT,2030,nat_gas,Menorca,gas,80,3.6247e+06,1.07857e+06
PV_SonSalomo,2021,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2022,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2023,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2024,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2025,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2026,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2027,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2028,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2029,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
PV_SonSalomo,2030,salomo_pv,Menorca,sun,5.1,1.80929e+06,510000
Seacable,2021,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2022,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2023,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2024,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2025,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2026,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2027,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2028,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2029,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Seacable,2030,cable,Menorca,cable,35,4.89537e+06,2.1e+06
Utility_PV,2021,utility_pv,Menorca,sun,58,3.42407e+06,851904
Utility_PV,2022,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2023,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2024,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2025,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2026,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2027,utility_pv,Menorca,sun,60,3.53917e+06,880542
Utility_PV,2028,utility_pv,Menorca,sun,62,3.63799e+06,905128
Utility_PV,2029,utility_pv,Menorca,sun,68,3.92701e+06,977038
Utility_PV,2030,utility_pv,Menorca,sun,72,4.11485e+06,1.02377e+06
Wind_Mila,2021,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2022,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2023,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2024,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2025,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2026,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2027,mila_wind,Menorca,wind,3.2,454096,128000
Wind_Mila,2028,mila_wind,Menorca,wind,3.2,454096,128000
Wind_OnShore,2021,wind,Menorca,wind,58.65,5.97351e+06,1.771e+06
Wind_OnShore,2022,wind,Menorca,wind,62.1,6.31617e+06,1.87258e+06
Wind_OnShore,2023,wind,Menorca,wind,62.1,6.31617e+06,1.87258e+06
Wind_OnShore,2024,wind,Menorca,wind,69,6.96785e+06,2.06579e+06
Wind_OnShore,2025,wind,Menorca,wind,72.45,7.28559e+06,2.16e+06
Wind_OnShore,2026,wind,Menorca,wind,96.6,9.45454e+06,2.80304e+06
Wind_OnShore,2027,wind,Menorca,wind,96.6,9.45454e+06,2.80304e+06
Wind_OnShore,2028,wind,Menorca,wind,96.6,9.45454e+06,2.80304e+06
Wind_OnShore,2029,wind,Menorca,wind,96.6,9.45454e+06,2.80304e+06
Wind_OnShore,2030,wind,Menorca,wind,96.6,9.45454e+06,2.80304e+06
