gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,Menorca,battery,2021,0.0,0.0,0.0
bat_1h,Menorca,battery,2022,0.0,0.0,0.0
bat_1h,Menorca,battery,2023,0.0,0.0,0.0
bat_1h,Menorca,battery,2024,0.0,0.0,0.0
bat_1h,Menorca,battery,2025,0.0,0.0,0.0
bat_1h,Menorca,battery,2026,1.732883950000002,0.0,0.0
bat_1h,Menorca,battery,2027,1.639595300000001,0.0,0.0
bat_1h,Menorca,battery,2028,1.8135726000000019,0.0,0.0
bat_1h,Menorca,battery,2029,1.7394433000000016,0.0,0.0
bat_1h,Menorca,battery,2030,1.7260698000000017,0.0,0.0
bat_2h,Menorca,battery,2021,0.0,0.0,0.0
bat_2h,Menorca,battery,2022,0.0,0.0,0.0
bat_2h,Menorca,battery,2023,0.0,0.0,0.0
bat_2h,Menorca,battery,2024,0.0,0.0,0.0
bat_2h,Menorca,battery,2025,0.0,0.0,0.0
bat_2h,Menorca,battery,2026,0.0,0.0,0.0
bat_2h,Menorca,battery,2027,0.0,0.0,0.0
bat_2h,Menorca,battery,2028,0.0,0.0,0.0
bat_2h,Menorca,battery,2029,0.0,0.0,0.0
bat_2h,Menorca,battery,2030,0.0,0.0,0.0
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,0.0,0.0,0.0
bat_4h,Menorca,battery,2027,0.0,0.0,0.0
bat_4h,Menorca,battery,2028,0.0,0.0,0.0
bat_4h,Menorca,battery,2029,0.0,0.0,0.0
bat_4h,Menorca,battery,2030,0.0,0.0,0.0
cable,Menorca,cable,2021,160.68877650000115,0.0,31674.971623679867
cable,Menorca,cable,2022,157.3475330000007,0.0,31016.345704959873
cable,Menorca,cable,2023,160.65778400000085,0.0,31668.862382079842
cable,Menorca,cable,2024,154.82795300000083,0.0,30519.686095359873
cable,Menorca,cable,2025,154.06419350000078,0.0,30369.133822719883
cable,Menorca,cable,2026,130.71800160588282,0.0,25767.132476551495
cable,Menorca,cable,2027,133.28941994117696,0.0,26274.010458804678
cable,Menorca,cable,2028,134.55949014117692,0.0,26524.366696628684
cable,Menorca,cable,2029,136.2391333882358,0.0,26855.457973488912
cable,Menorca,cable,2030,136.952453791177,0.0,26996.067691316654
ccgt,Menorca,gas,2021,0.0,0.0,0.0
ccgt,Menorca,gas,2022,0.0,0.0,0.0
ccgt,Menorca,gas,2023,0.0,0.0,0.0
ccgt,Menorca,gas,2024,0.0,0.0,0.0
ccgt,Menorca,gas,2025,0.0,0.0,0.0
ccgt,Menorca,gas,2026,0.0,0.0,0.0
ccgt,Menorca,gas,2027,0.0,0.0,0.0
ccgt,Menorca,gas,2028,0.0,0.0,0.0
ccgt,Menorca,gas,2029,0.0,0.0,0.0
ccgt,Menorca,gas,2030,0.0,0.0,0.0
diesel,Menorca,diesel,2021,0.7856590000000001,0.0,646.5187911000002
diesel,Menorca,diesel,2022,0.9012710000000002,0.0,741.6559059000002
fueloil,Menorca,fueloil,2021,38.18972499999999,0.0,33037.931097500026
fueloil,Menorca,fueloil,2022,38.90813500000002,0.0,33659.42758850006
