gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,5.197812199999986,0.0,0.0
bat_4h,Menorca,battery,2027,5.1729592249999845,0.0,0.0
bat_4h,Menorca,battery,2028,5.218966724999986,0.0,0.0
bat_4h,Menorca,battery,2029,4.980297349999986,0.0,0.0
bat_4h,Menorca,battery,2030,15.483491450000066,0.0,0.0
cable,Menorca,cable,2021,181.2300910000011,0.0,35724.075537919816
cable,Menorca,cable,2022,179.20351050000133,0.0,35324.59598975978
cable,Menorca,cable,2023,182.4266080000014,0.0,35959.93296895974
cable,Menorca,cable,2024,166.503550500001,0.0,32821.17987455985
cable,Menorca,cable,2025,161.00880250000108,0.0,31738.055148799875
cable,Menorca,cable,2026,147.80069475294198,0.0,29134.47294969966
cable,Menorca,cable,2027,150.62131395294224,0.0,29690.473406403653
cable,Menorca,cable,2028,150.7557764897068,0.0,29716.978661650737
cable,Menorca,cable,2029,149.59418188235387,0.0,29488.0051326493
cable,Menorca,cable,2030,62.69326329411755,0.0,12358.096060536485
diesel,Menorca,diesel,2021,1.1816980000000001,0.0,972.4192842000004
diesel,Menorca,diesel,2022,1.3605410000000002,0.0,1119.5891889
fueloil,Menorca,fueloil,2021,45.40174100000004,0.0,39277.046139100035
fueloil,Menorca,fueloil,2022,46.36905700000004,0.0,40113.871210699945
mila_wind,Menorca,wind,2021,5.9340119999999565,0.0,0.0
mila_wind,Menorca,wind,2022,5.953226999999959,0.0,0.0
mila_wind,Menorca,wind,2023,6.163559499999962,0.0,0.0
mila_wind,Menorca,wind,2024,5.600416499999958,0.0,0.0
mila_wind,Menorca,wind,2025,5.510560999999962,0.0,0.0
mila_wind,Menorca,wind,2026,5.280365999999966,0.0,0.0
mila_wind,Menorca,wind,2027,5.376115499999964,0.0,0.0
mila_wind,Menorca,wind,2028,5.246655029411727,0.0,0.0
nat_gas,Menorca,gas,2021,0.0,0.0,0.0
nat_gas,Menorca,gas,2022,0.0,0.0,0.0
nat_gas,Menorca,gas,2023,50.61357000000008,367454.5182000001,26577.185606999978
nat_gas,Menorca,gas,2024,46.17628050000007,335239.79642999993,24247.164890549993
nat_gas,Menorca,gas,2025,45.55855150000006,330755.08389,23922.79539265
nat_gas,Menorca,gas,2026,38.78663967499997,281591.0040405,20366.86449334251
nat_gas,Menorca,gas,2027,41.25873167500003,299538.3919605002,21664.96000254251
nat_gas,Menorca,gas,2028,42.938922250000026,311736.5755350002,22547.228073475013
nat_gas,Menorca,gas,2029,44.83535315,325504.66386899946,23543.043939064974
nat_gas,Menorca,gas,2030,18.437304200000003,133854.82849200003,9681.428435419999
salomo_pv,Menorca,sun,2021,7.4242490000000005,0.0,0.0
salomo_pv,Menorca,sun,2022,7.698516000000003,0.0,0.0
salomo_pv,Menorca,sun,2023,8.10450900000001,0.0,0.0
salomo_pv,Menorca,sun,2024,7.2313465000000035,0.0,0.0
salomo_pv,Menorca,sun,2025,7.275982000000004,0.0,0.0
salomo_pv,Menorca,sun,2026,6.943758500000003,0.0,0.0
salomo_pv,Menorca,sun,2027,6.971128911764705,0.0,0.0
salomo_pv,Menorca,sun,2028,6.830164558823533,0.0,0.0
salomo_pv,Menorca,sun,2029,6.938460529411768,0.0,0.0
salomo_pv,Menorca,sun,2030,3.4620180000000005,0.0,0.0
utility_pv,Menorca,sun,2021,141.62844500000037,0.0,0.0
utility_pv,Menorca,sun,2022,138.35005450000023,0.0,0.0
utility_pv,Menorca,sun,2023,138.9651025000001,0.0,0.0
utility_pv,Menorca,sun,2024,134.7677205000001,0.0,0.0
utility_pv,Menorca,sun,2025,128.00140850000005,0.0,0.0
utility_pv,Menorca,sun,2026,112.53869344117655,0.0,0.0
utility_pv,Menorca,sun,2027,114.8011457352941,0.0,0.0
utility_pv,Menorca,sun,2028,125.70441027941183,0.0,0.0
utility_pv,Menorca,sun,2029,131.47771494117663,0.0,0.0
utility_pv,Menorca,sun,2030,96.60506800000007,0.0,0.0
wind,Menorca,wind,2021,110.1637740000001,0.0,0.0
wind,Menorca,wind,2022,121.61409399999992,0.0,0.0
wind,Menorca,wind,2023,122.00029099999993,0.0,0.0
wind,Menorca,wind,2024,155.43098549999982,0.0,0.0
wind,Menorca,wind,2025,175.81748450000018,0.0,0.0
wind,Menorca,wind,2026,220.59998860735368,0.0,0.0
wind,Menorca,wind,2027,221.42210938235343,0.0,0.0
wind,Menorca,wind,2028,216.6568355205886,0.0,0.0
wind,Menorca,wind,2029,223.65396550000014,0.0,0.0
wind,Menorca,wind,2030,384.41809735,0.0,0.0
