gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
bat_1h,Menorca,battery,2021,0.0,0.0,0.0
bat_1h,Menorca,battery,2022,0.0,0.0,0.0
bat_1h,Menorca,battery,2023,0.0,0.0,0.0
bat_1h,Menorca,battery,2024,0.0,0.0,0.0
bat_1h,Menorca,battery,2025,0.0,0.0,0.0
bat_1h,Menorca,battery,2026,2.097181974999997,0.0,0.0
bat_1h,Menorca,battery,2027,1.9710559749999972,0.0,0.0
bat_1h,Menorca,battery,2028,2.1479946249999973,0.0,0.0
bat_1h,Menorca,battery,2029,2.2402971499999964,0.0,0.0
bat_1h,Menorca,battery,2030,2.1876063999999964,0.0,0.0
bat_2h,Menorca,battery,2021,0.0,0.0,0.0
bat_2h,Menorca,battery,2022,0.0,0.0,0.0
bat_2h,Menorca,battery,2023,0.0,0.0,0.0
bat_2h,Menorca,battery,2024,0.0,0.0,0.0
bat_2h,Menorca,battery,2025,0.0,0.0,0.0
bat_2h,Menorca,battery,2026,0.0,0.0,0.0
bat_2h,Menorca,battery,2027,0.0,0.0,0.0
bat_2h,Menorca,battery,2028,0.0,0.0,0.0
bat_2h,Menorca,battery,2029,0.0,0.0,0.0
bat_2h,Menorca,battery,2030,0.0,0.0,0.0
bat_4h,Menorca,battery,2021,0.0,0.0,0.0
bat_4h,Menorca,battery,2022,0.0,0.0,0.0
bat_4h,Menorca,battery,2023,0.0,0.0,0.0
bat_4h,Menorca,battery,2024,0.0,0.0,0.0
bat_4h,Menorca,battery,2025,0.0,0.0,0.0
bat_4h,Menorca,battery,2026,0.0,0.0,0.0
bat_4h,Menorca,battery,2027,0.0,0.0,0.0
bat_4h,Menorca,battery,2028,0.0,0.0,0.0
bat_4h,Menorca,battery,2029,0.0,0.0,0.0
bat_4h,Menorca,battery,2030,0.0,0.0,0.0
cable,Menorca,cable,2021,181.2300910000011,0.0,35724.075537919816
cable,Menorca,cable,2022,179.20351050000133,0.0,35324.59598975978
cable,Menorca,cable,2023,182.4266080000014,0.0,35959.93296895974
cable,Menorca,cable,2024,166.503550500001,0.0,32821.17987455985
cable,Menorca,cable,2025,161.00880250000108,0.0,31738.055148799875
cable,Menorca,cable,2026,147.98569297647137,0.0,29170.9397995218
cable,Menorca,cable,2027,150.76444768823615,0.0,29718.687928304847
cable,Menorca,cable,2028,150.93465741323635,0.0,29752.239669296843
cable,Menorca,cable,2029,143.30592392941242,0.0,28248.46372496556
cable,Menorca,cable,2030,139.26392611764777,0.0,27451.70511631052
diesel,Menorca,diesel,2021,1.1816980000000004,0.0,972.4192842000007
diesel,Menorca,diesel,2022,1.3605410000000002,0.0,1119.5891889
fueloil,Menorca,fueloil,2021,45.40174100000004,0.0,39277.046139100035
fueloil,Menorca,fueloil,2022,46.36905700000004,0.0,40113.871210699945
mila_wind,Menorca,wind,2021,6.016317999999953,0.0,0.0
mila_wind,Menorca,wind,2022,5.650844499999964,0.0,0.0
mila_wind,Menorca,wind,2023,6.077000999999962,0.0,0.0
mila_wind,Menorca,wind,2024,5.756617999999954,0.0,0.0
mila_wind,Menorca,wind,2025,5.640102999999961,0.0,0.0
mila_wind,Menorca,wind,2026,5.3946444999999645,0.0,0.0
mila_wind,Menorca,wind,2027,5.368831999999959,0.0,0.0
mila_wind,Menorca,wind,2028,5.193519882352903,0.0,0.0
